ID,Title,Parent_ID,Count,Formel,Taille M,Uni,Sombre ⬛️,Bleu,Taille 46 🇮🇹,Taille 36 🇬🇧,de 16 à 49€ 😏,Militaire 🪖,Beige,Marron,Taille L,Gris,Lumineux ⬜️,Casual ✌🏻,Taille 48 🇮🇹,Taille 38 🇬🇧,Taille 40 🇬🇧,Taille 50 🇮🇹,de 50 à 99€ 🫣,Velour,Mat,Rouge,de 100 à 150€ 😳,carreaux,motifs,Taille S,Camel,Texturé,Rayures,Vert,moins de 15€ 😍,Taille 47 🇮🇹,Taille 37 🇬🇧,Taille 44 🇬🇧,Taille 54 🇮🇹,Croisé,Taille XXXL,King size,plus de 150€ 🥵,Lot,Taille 52 🇮🇹,Taille 42 🇬🇧,Taille XL,Taille XS,Taille 44 🇮🇹,Denim,Blanc,Taille XXL,uni,Multicolore,Brillant,Orange,Rose,Texte,bla,Noir,Jaune,Violet,vintage dressing,noir,rouge,Carreaux,Motifs,bleu,multicolore,orange,vert,blanc,beige,rose,turquoise,bleu clair,jaune,doré,marine,gris,marron,crème,bordeaux,kaki,Pointure 42 🇫🇷,Pointure 43 🇫🇷,Pointure 38 🇫🇷,Pointure 44 🇫🇷,Pointure 41 🇫🇷,Pointure 40 🇫🇷,Pointure 45 🇫🇷,Pointure 39 🇫🇷,Pointure 49 🇫🇷,Taille 58 🇮🇹,Taille 56 🇮🇹,Taille 40 🇮🇹,Taille 42 🇫🇷,W34 🇺🇸,L32 🇺🇸,L29 🇺🇸,W36 🇺🇸,L34 🇺🇸,W35 🇺🇸,L30 🇺🇸,W33 🇺🇸,W40 🇺🇸,W29 🇺🇸,W32 🇺🇸,W31 🇺🇸,W30 🇺🇸
34229313,"Vestes, blazers et costumes",,108,107,99,67,76,35,5,6,35,10,6,9,12,16,25,4,31,25,12,12,22,8,8,1,12,22,29,7,10,17,7,2,7,1,1,3,3,4,1,1,3,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229312,Veste de travail,,8,0,2,7,6,1,0,0,2,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229311,Sur-chemises et vareuses,,17,0,1,15,8,2,0,0,2,1,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229310,"Manteaux, pardessus & vestes",,61,33,20,48,46,9,1,0,28,6,7,9,22,3,13,49,4,0,0,0,13,1,1,2,5,1,2,6,0,0,1,24,4,0,0,0,0,0,0,1,3,0,0,0,8,3,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229309,Gilets & doudounes ss manches,,4,2,1,4,4,1,0,2,1,0,0,1,0,0,0,3,0,0,0,0,2,3,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229308,Blousons,,29,0,5,27,14,3,0,0,6,4,0,5,2,0,15,29,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229307,Manteaux & vestes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229306,Tee shirts et marinières,,8,0,3,7,4,2,0,0,1,0,0,0,2,3,4,8,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229305,Sweat shirts,,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229304,Pulls,,136,3,19,94,41,28,0,0,13,1,12,1,9,18,57,131,0,0,0,0,0,0,0,11,0,0,4,69,1,14,0,7,82,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,3,0,0,2,0,1,4,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
