item_title,item_picture,item_link,item_brand,item_color,item_price,item_description,item_size,item_views,item_location,item_date_added,item_followers,query
Barbour Bedale,"['https://images1.vinted.net/t/02_009aa_T6VadDppY2X9VmLVz41LVZLU/f800/1682589002.jpeg?s=fd78daaa68e6a67a260df1a47cdcb514fc322e8d', 'https://images1.vinted.net/t/03_01316_LYUmC5gn3z6Emi2QDBpJ8wwx/f800/1682589002.jpeg?s=55581f928b0dc84d8d372c7b3907e2ffdfa7459a', 'https://images1.vinted.net/t/03_01ed0_M49HYfeaEeCFUoSBXPfSs6TK/f800/1682589002.jpeg?s=92f83672d760b30095a662a46a1955d19c000889', 'https://images1.vinted.net/t/03_0222f_wUmWgPMKAqN2HgBu3nkQC8Tz/f800/1682589002.jpeg?s=c3e45930575303672909a1bcb4982c2224973b3f', 'https://images1.vinted.net/t/03_0143c_tnzjB5u1sMBkdXjSgL2WYo8Y/f800/1682589002.jpeg?s=8315d316344eb230d1c4176711dc6e9b351f2f38', 'https://images1.vinted.net/t/02_009aa_T6VadDppY2X9VmLVz41LVZLU/f800/1682589002.jpeg?s=fd78daaa68e6a67a260df1a47cdcb514fc322e8d', 'https://images1.vinted.net/t/03_01316_LYUmC5gn3z6Emi2QDBpJ8wwx/f800/1682589002.jpeg?s=55581f928b0dc84d8d372c7b3907e2ffdfa7459a', 'https://images1.vinted.net/t/03_01ed0_M49HYfeaEeCFUoSBXPfSs6TK/f800/1682589002.jpeg?s=92f83672d760b30095a662a46a1955d19c000889', 'https://images1.vinted.net/t/03_0222f_wUmWgPMKAqN2HgBu3nkQC8Tz/f800/1682589002.jpeg?s=c3e45930575303672909a1bcb4982c2224973b3f', 'https://images1.vinted.net/t/03_0143c_tnzjB5u1sMBkdXjSgL2WYo8Y/f800/1682589002.jpeg?s=8315d316344eb230d1c4176711dc6e9b351f2f38']",https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/vestes-harrington-1226/2951652223-barbour-bedale,BARBOUR,NOIR,"115,00 €",Bellissimo Barbour Bedale in perfette condizioni taglia C 42,"M
SIZE INFORMATION",222,ITALIE,27/04/2023 11:50:02,23 UTILISATEURS,veste barbour
Veste matelassée Barbour,"['https://images1.vinted.net/t/03_00594_QP1kXwR4pDcEW3GyzpfdcbsQ/f800/1682261573.jpeg?s=6ce46ceaed6f498e577b2d136ce8cf215a18934c', 'https://images1.vinted.net/t/01_002e5_7bBjSJ7uCeMYmzGKWUQZxDwL/f800/1682261573.jpeg?s=dd2a0466c95e2fe41eeedb8235e406aea42c5d2f', 'https://images1.vinted.net/t/03_01949_8yRuRQM2SPhm4piFgDa7tgpJ/f800/1682261573.jpeg?s=6591879dcdb92fb7bfcc6401827a2e2d5a4f94a8', 'https://images1.vinted.net/t/01_01971_c24oxavyKAYvnX1FaXiD9Ssi/f800/1682261573.jpeg?s=c0a67f73eb23f5b62611c2e188523c18d3a397b7', 'https://images1.vinted.net/t/03_02575_J1ZY7N4YX5MbgRVD6X2ZeSsf/f800/1682261573.jpeg?s=dc29d2e01d4629e1a96ae89aa7ac1bc417f876e4', 'https://images1.vinted.net/t/03_00594_QP1kXwR4pDcEW3GyzpfdcbsQ/f800/1682261573.jpeg?s=6ce46ceaed6f498e577b2d136ce8cf215a18934c', 'https://images1.vinted.net/t/01_002e5_7bBjSJ7uCeMYmzGKWUQZxDwL/f800/1682261573.jpeg?s=dd2a0466c95e2fe41eeedb8235e406aea42c5d2f', 'https://images1.vinted.net/t/03_01949_8yRuRQM2SPhm4piFgDa7tgpJ/f800/1682261573.jpeg?s=6591879dcdb92fb7bfcc6401827a2e2d5a4f94a8', 'https://images1.vinted.net/t/01_01971_c24oxavyKAYvnX1FaXiD9Ssi/f800/1682261573.jpeg?s=c0a67f73eb23f5b62611c2e188523c18d3a397b7', 'https://images1.vinted.net/t/03_02575_J1ZY7N4YX5MbgRVD6X2ZeSsf/f800/1682261573.jpeg?s=dc29d2e01d4629e1a96ae89aa7ac1bc417f876e4']",https://www.vinted.fr/donna/vestiti/abbigliamento-da-esterno/giacche/giacche-trapuntate/2937229479-veste-matelassee-barbour,BARBOUR,"VERT, KAKI","150,00 €","Modèle ""Deveron polarquilt"" toujours commercialisé 
Comme neuve, portée 2 fois, aucun défaut
Correspond à une taille 34
Valeur d'origine 200€ 
Authentique Barbour 
Protection contre le froid, doublée polaire 
Col velours 
Légèrement cintrée à la taille","XS / 34 / 6
SIZE INFORMATION",491,"LYON, FRANCE",23/04/2023 16:52:53,2 UTILISATEURS,veste barbour
Veste doudou,"['https://images1.vinted.net/t/03_01d17_3bT61be8CxGS8Dy7BrVwf46f/f800/1680698594.jpeg?s=99687e4143eab310a59fca45df4f83b2182aa20a', 'https://images1.vinted.net/t/03_0017d_zc7dJ7wfHa81Vds1wR1ukdKs/f800/1680698594.jpeg?s=5ce8f66e476da75e7daded0ec0ac7ab2a431f5c4', 'https://images1.vinted.net/t/02_01a44_111KJ5tcaXuioQ6ECz4QgBff/f800/1680698594.jpeg?s=debb36cc381b5abf67249bb3c1e530abeb62919d', 'https://images1.vinted.net/t/03_01d17_3bT61be8CxGS8Dy7BrVwf46f/f800/1680698594.jpeg?s=99687e4143eab310a59fca45df4f83b2182aa20a', 'https://images1.vinted.net/t/03_0017d_zc7dJ7wfHa81Vds1wR1ukdKs/f800/1680698594.jpeg?s=5ce8f66e476da75e7daded0ec0ac7ab2a431f5c4', 'https://images1.vinted.net/t/02_01a44_111KJ5tcaXuioQ6ECz4QgBff/f800/1680698594.jpeg?s=debb36cc381b5abf67249bb3c1e530abeb62919d']",https://www.vinted.fr/enfants/garcons/vetements-dexterieur/vestes/vestes-polaires/2870050017-veste-doudou,DISNEY BABY,CRÈME,"1,00 €","Bon état très peu portée
De couleur mixte","9-12 MOIS / 74 CM
SIZE INFORMATION",26,"LE BARBOUX, FRANCE",05/04/2023 14:43:14,AUCUN MEMBRE INTERESSE,veste barbour
Gilet Barbour vintage 🇬🇧,"['https://images1.vinted.net/t/03_007c5_x19gMzmJWggicyw9YcZYJBSH/f800/1682579919.jpeg?s=3515ac0218ce89649267e0b53d570534c6be231b', 'https://images1.vinted.net/t/03_0099a_EUU9svbXjTfEhgpNKL8pUSS4/f800/1682579919.jpeg?s=0a3d58ff8598be8e4563e6fc9dfc55bf36e2e45f', 'https://images1.vinted.net/t/01_02696_csWqDxfgj9C6nV6gFf4Rq9BJ/f800/1682579919.jpeg?s=fcbd1ed14d380b9a3cb29056db14af6c3c91139e', 'https://images1.vinted.net/t/03_007c5_x19gMzmJWggicyw9YcZYJBSH/f800/1682579919.jpeg?s=3515ac0218ce89649267e0b53d570534c6be231b', 'https://images1.vinted.net/t/03_0099a_EUU9svbXjTfEhgpNKL8pUSS4/f800/1682579919.jpeg?s=0a3d58ff8598be8e4563e6fc9dfc55bf36e2e45f', 'https://images1.vinted.net/t/01_02696_csWqDxfgj9C6nV6gFf4Rq9BJ/f800/1682579919.jpeg?s=fcbd1ed14d380b9a3cb29056db14af6c3c91139e']",https://www.vinted.fr/uomo/vestiti/abbigliamento-da-esterno/gilet/2951155122-gilet-barbour-vintage,BARBOUR,"VERT, KAKI","63,00 €","Gilet Barbour vintage ,colore verde . Ottime condizioni , taglia L ma veste L/XL .","L
SIZE INFORMATION",147,"ROCCA DI PAPA, ITALIE",27/04/2023 09:18:39,13 UTILISATEURS,veste barbour
Veste sans manche,"['https://images1.vinted.net/t/01_003bc_71UhZufLz7ovv8YXPNUyHvAm/f800/1682087773.jpeg?s=f2ae9c396fb7c62b5ed59ba8e0677d85c340df17', 'https://images1.vinted.net/t/03_01cae_SZdkpEPUqBJzaHmjTLyyy388/f800/1682087773.jpeg?s=54f0b8aee9cbd82ce2f3f192ca501f5ae1ff1ec9', 'https://images1.vinted.net/t/02_00083_wDRFmgMouk873tAi4t3GssvW/f800/1682087773.jpeg?s=37a99f1316e84fb97953a56902ab099acb5f602a', 'https://images1.vinted.net/t/01_003bc_71UhZufLz7ovv8YXPNUyHvAm/f800/1682087773.jpeg?s=f2ae9c396fb7c62b5ed59ba8e0677d85c340df17', 'https://images1.vinted.net/t/03_01cae_SZdkpEPUqBJzaHmjTLyyy388/f800/1682087773.jpeg?s=54f0b8aee9cbd82ce2f3f192ca501f5ae1ff1ec9', 'https://images1.vinted.net/t/02_00083_wDRFmgMouk873tAi4t3GssvW/f800/1682087773.jpeg?s=37a99f1316e84fb97953a56902ab099acb5f602a']",https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes-sans-manches/2929438038-veste-sans-manche,ATLAS FOR MEN,MARRON,"8,00 €",Veste sans manche style Barbour.,"XL
SIZE INFORMATION",102,"PARIS, FRANCE",21/04/2023 16:36:13,AUCUN MEMBRE INTERESSE,veste barbour
Barbour Liddesdale Green Large,"['https://images1.vinted.net/t/03_02601_ooiABKAbLGExdfCPnjGkTYPd/f800/1682532400.jpeg?s=070c527f41387ecc4afd9d0563d48a567c3430a3', 'https://images1.vinted.net/t/02_01a5d_ji8pBChw6RTesovfp68S1VND/f800/1682532400.jpeg?s=a962c33502823abab6dfd4913526534dced81275', 'https://images1.vinted.net/t/03_01131_zApGWmxoURH3BMg2enPbFWUy/f800/1682532400.jpeg?s=2b830cecec1504a513dd05322bd552de30f88efa', 'https://images1.vinted.net/t/01_0013a_YdyMYEkFJcfRYEWYuMKmf4ho/f800/1682532400.jpeg?s=e8e5bac47ffd4857a91f72feb4e140321661f378', 'https://images1.vinted.net/t/03_015d7_r8paUaJFVCQoFSUzNWZtoXR1/f800/1682532400.jpeg?s=71bd5429fc1a2f244a8d1ccd2b0b4a14e98bc864', 'https://images1.vinted.net/t/03_02601_ooiABKAbLGExdfCPnjGkTYPd/f800/1682532400.jpeg?s=070c527f41387ecc4afd9d0563d48a567c3430a3', 'https://images1.vinted.net/t/02_01a5d_ji8pBChw6RTesovfp68S1VND/f800/1682532400.jpeg?s=a962c33502823abab6dfd4913526534dced81275', 'https://images1.vinted.net/t/03_01131_zApGWmxoURH3BMg2enPbFWUy/f800/1682532400.jpeg?s=2b830cecec1504a513dd05322bd552de30f88efa', 'https://images1.vinted.net/t/01_0013a_YdyMYEkFJcfRYEWYuMKmf4ho/f800/1682532400.jpeg?s=e8e5bac47ffd4857a91f72feb4e140321661f378', 'https://images1.vinted.net/t/03_015d7_r8paUaJFVCQoFSUzNWZtoXR1/f800/1682532400.jpeg?s=71bd5429fc1a2f244a8d1ccd2b0b4a14e98bc864']",https://www.vinted.fr/heren/kleding/buitenkleding/jacks/quilted-jassen/2950245365-barbour-liddesdale-green-large,BARBOUR,"VERT, KAKI","140,00 €","Beautiful Brand new Barbour Liddesdale Jacket!

Brand: Barbour
Model: Liddesdale Hoxton
Color: Green
Size: Large
Boutique Price: €300
Condition: Brand new with tags","L
SIZE INFORMATION",168,PAYS-BAS,26/04/2023 20:06:40,1 UTILISATEUR,veste barbour
Veste Barbour,"['https://images1.vinted.net/t/03_01b07_RPtDntftuGtMqWkKgAyCrCkG/f800/1680170149.jpeg?s=e327f5d6ccda2823b8edd2255890b482a3fab506', 'https://images1.vinted.net/t/01_0110e_K1HNhUXXXV5opPSm7MjjAe7m/f800/1680170149.jpeg?s=aee9e7be250b905ff372a624bec18354ff393b1c', 'https://images1.vinted.net/t/03_00968_bpXT4RQ7DRKPMtJQqATHMgA6/f800/1680170149.jpeg?s=2ba6ead66567a20c1725a6e2852e21e47097c40b', 'https://images1.vinted.net/t/01_00b5c_RW5jMCWS7aUf7HnRLjh58QLR/f800/r2/1680170149.jpeg?s=b884b592ef8784fee514c805b98cf576647f8b59', 'https://images1.vinted.net/t/02_01548_zW3aUEYAaYyTMMHpJxHetgrd/f800/1680170149.jpeg?s=d7ba2c3daf3d7db7bac8ae2b98e4e2c11f605364', 'https://images1.vinted.net/t/03_01b07_RPtDntftuGtMqWkKgAyCrCkG/f800/1680170149.jpeg?s=e327f5d6ccda2823b8edd2255890b482a3fab506', 'https://images1.vinted.net/t/01_0110e_K1HNhUXXXV5opPSm7MjjAe7m/f800/1680170149.jpeg?s=aee9e7be250b905ff372a624bec18354ff393b1c', 'https://images1.vinted.net/t/03_00968_bpXT4RQ7DRKPMtJQqATHMgA6/f800/1680170149.jpeg?s=2ba6ead66567a20c1725a6e2852e21e47097c40b', 'https://images1.vinted.net/t/01_00b5c_RW5jMCWS7aUf7HnRLjh58QLR/f800/r2/1680170149.jpeg?s=b884b592ef8784fee514c805b98cf576647f8b59', 'https://images1.vinted.net/t/02_01548_zW3aUEYAaYyTMMHpJxHetgrd/f800/1680170149.jpeg?s=d7ba2c3daf3d7db7bac8ae2b98e4e2c11f605364']",https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-matelassees-2596/2846891262-veste-barbour,BARBOUR,KAKI,"199,00 €","Fabriquée à partir de coton ciré robuste et résistant de couleur kaki. Intérieur matelassé. Système de fermeture par zip et bouton.
2 poches plaquées sur le devant. Encolure en velours marron.
#veste #manteau #hiver #kaki #vert #homme #marque #barbour","M / 38 / 10
SIZE INFORMATION",370,"SAINT-LAURENT-DU-VAR, FRANCE",30/03/2023 11:55:49,8 UTILISATEURS,veste barbour
Veste ciré Barbour,"['https://images1.vinted.net/t/03_006fa_uxdnTYzZyAxTEgohzUYRiBdj/f800/1680168656.jpeg?s=d2b847e6cd90a5dac25116ccfbab31d160d8118a', 'https://images1.vinted.net/t/01_00c80_VKToDtvLEPJTbL4t5zpxouVM/f800/1680168656.jpeg?s=efbeda45cc285ce0547d02b5b7fb670d7e465ce4', 'https://images1.vinted.net/t/03_00931_2pb4HWME4xKWP3N2aSSFrXcD/f800/1680168656.jpeg?s=a342323d6e4ae8b3285b288e1ea0aba5b98b2d1f', 'https://images1.vinted.net/t/02_01cbe_WJDEZsHq2kVa7ALkoz2Vc8Q3/f800/1680168656.jpeg?s=aac88e3c4c0bf9ee07044b08f0fb5ee2ad34ccff', 'https://images1.vinted.net/t/03_006fa_uxdnTYzZyAxTEgohzUYRiBdj/f800/1680168656.jpeg?s=d2b847e6cd90a5dac25116ccfbab31d160d8118a', 'https://images1.vinted.net/t/01_00c80_VKToDtvLEPJTbL4t5zpxouVM/f800/1680168656.jpeg?s=efbeda45cc285ce0547d02b5b7fb670d7e465ce4', 'https://images1.vinted.net/t/03_00931_2pb4HWME4xKWP3N2aSSFrXcD/f800/1680168656.jpeg?s=a342323d6e4ae8b3285b288e1ea0aba5b98b2d1f', 'https://images1.vinted.net/t/02_01cbe_WJDEZsHq2kVa7ALkoz2Vc8Q3/f800/1680168656.jpeg?s=aac88e3c4c0bf9ee07044b08f0fb5ee2ad34ccff']",https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/parkas/2846798253-veste-cire-barbour,BARBOUR,MARINE,"149,00 €","Veste courte inspirée de la veste des motards. Fente respirante au niveau du dos. 2 poches plaquées et 2 poches verticales sur le bas de la veste.
Existe également en taille XL.
#veste #bleu #barbour #marque #hiver #été #marine","XXL
SIZE INFORMATION",210,"SAINT-LAURENT-DU-VAR, FRANCE",30/03/2023 11:30:56,3 UTILISATEURS,veste barbour
Veste chez Barbour,"['https://images1.vinted.net/t/03_02394_VhsamGADumextmFRFctAqkE8/f800/1680167397.jpeg?s=dcd5500800a0a683f808bc13bcd46610fc6391ac', 'https://images1.vinted.net/t/01_01b96_ST3sxn5GEx7MUEYitF6dbm1T/f800/1680166270.jpeg?s=c3720390f7d5d652575508b66f528a2da917c161', 'https://images1.vinted.net/t/02_02052_fJWPEijv1ZmBx7ue2nVjydKj/f800/1680166270.jpeg?s=fcf37a73167a58719bfa8067b8641d18665f1c95', 'https://images1.vinted.net/t/02_01f3b_BufDgJidQZQMu2EZ3NtAV2Ep/f800/r2/1680167397.jpeg?s=54474182792bbee3500060efd8a11e53d45d8bbd', 'https://images1.vinted.net/t/03_02394_VhsamGADumextmFRFctAqkE8/f800/1680167397.jpeg?s=dcd5500800a0a683f808bc13bcd46610fc6391ac', 'https://images1.vinted.net/t/01_01b96_ST3sxn5GEx7MUEYitF6dbm1T/f800/1680166270.jpeg?s=c3720390f7d5d652575508b66f528a2da917c161', 'https://images1.vinted.net/t/02_02052_fJWPEijv1ZmBx7ue2nVjydKj/f800/1680166270.jpeg?s=fcf37a73167a58719bfa8067b8641d18665f1c95', 'https://images1.vinted.net/t/02_01f3b_BufDgJidQZQMu2EZ3NtAV2Ep/f800/r2/1680167397.jpeg?s=54474182792bbee3500060efd8a11e53d45d8bbd']",https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/parkas/2846653647-veste-chez-barbour,BARBOUR INTERNATIONAL,VERT FONCÉ,"179,00 €","2 poches latérales. Encolure molletonnée. 
Veste en coton ciré. 
#veste #manteau #veste #marron #parka #coton","L
SIZE INFORMATION",196,"SAINT-LAURENT-DU-VAR, FRANCE",30/03/2023 10:51:09,8 UTILISATEURS,veste barbour
Veste matelassé Barbour,"['https://images1.vinted.net/t/01_018dd_RAstwao9eC7aa88HQSi7ebJv/f800/1680163491.jpeg?s=8d1421b8f2f94face8192dba652c3a5bed8e36f1', 'https://images1.vinted.net/t/03_0262d_DqQvGJFFfNaqjnT5EUFDG5rD/f800/1680163491.jpeg?s=f3e014827f8ac12f98a48226728c18e58abbbf1e', 'https://images1.vinted.net/t/01_02707_whFA76EBfJ5K7PtPYeL8b3kG/f800/1680163491.jpeg?s=5d1313388cd49293e929f85161e1def47d5640b5', 'https://images1.vinted.net/t/03_01fd9_49QFEsZvLMMNBKnFqKfJctw3/f800/1680163491.jpeg?s=b781366a13bfb75fb5709f31db200643f361c222', 'https://images1.vinted.net/t/01_018dd_RAstwao9eC7aa88HQSi7ebJv/f800/1680163491.jpeg?s=8d1421b8f2f94face8192dba652c3a5bed8e36f1', 'https://images1.vinted.net/t/03_0262d_DqQvGJFFfNaqjnT5EUFDG5rD/f800/1680163491.jpeg?s=f3e014827f8ac12f98a48226728c18e58abbbf1e', 'https://images1.vinted.net/t/01_02707_whFA76EBfJ5K7PtPYeL8b3kG/f800/1680163491.jpeg?s=5d1313388cd49293e929f85161e1def47d5640b5', 'https://images1.vinted.net/t/03_01fd9_49QFEsZvLMMNBKnFqKfJctw3/f800/1680163491.jpeg?s=b781366a13bfb75fb5709f31db200643f361c222']",https://www.vinted.fr/men/clothes/outerwear/jackets/quilted-jackets/2846511565-veste-matelasse-barbour,BARBOUR INTERNATIONAL,"MARRON, KAKI","199,00 €","Veste avec 3 poches à rabat et une poche inclinée au niveau de la poitrine avec un empiècement en cuir. Veste bicolor, marron et olive.
#veste #vestekaki #vestehomme #homme #italian #marque #barbour #manteau","S
SIZE INFORMATION",100,"SAINT-LAURENT-DU-VAR, FRANCE",30/03/2023 10:04:51,AUCUN MEMBRE INTERESSE,veste barbour
